link_hash,link,title,description_short,description_long,application_deadline,focus_areas,target_beneficiaries,geographic_eligibility,min_budget,max_budget,keywords,source,sdg_tags,is_active,scraped_at,updated_at
0656e9ae1ef10c93cf8c7c82a29db2ba,https://untf.unwomen.org/en,UN Trust Fund to End Violence Against Women,Supports initiatives ending violence against women and girls.,"Funds projects that aim to prevent and end violence in all forms, across the globe.",2025-11-02 05:29:00+05:30,"{""Women Empowerment"",""Violence Prevention""}","{Women,Girls}",{Global},50000,500000,"{gender,violence,women}",UN Women,"{5,16}",TRUE,2025-07-18 17:19:38.03151+05:30,2025-07-18 17:19:38.03151+05:30
dc5b14e5e77615221867211e30c22e7f,https://www.elevateprize.org/apply/,Elevate Prize for Social Heroes,Recognizing and funding changemakers worldwide.,"Annual $300,000 prize and support for mission-driven individuals solving social issues.",2025-09-26 05:29:00+05:30,"{""Social Impact"",Leadership}","{Individuals,""Social Entrepreneurs""}",{Global},300000,300000,"{changemaker,leadership}",Elevate Prize,{17},TRUE,2025-07-18 17:19:38.067114+05:30,2025-07-18 17:19:38.067114+05:30
b15019fb6a1e75a5a3d7166f910abd49,https://www.usaid.gov/div,USAID Development Innovation Ventures,Funding for breakthrough solutions to global development.,DIV invests in evidence-based innovations to improve lives in developing countries.,2025-11-21 05:29:00+05:30,"{Development,Innovation}","{NGOs,Researchers}","{""Developing Countries""}",50000,1500000,"{usaid,innovation,scale}",USAID,"{1,2,9}",TRUE,2025-07-18 17:19:38.100819+05:30,2025-07-18 17:19:38.100819+05:30
34525f547d461dcdfe7b07e1af3c6578,https://acumen.org/fellowships/,Acumen Fellowship Program,Leadership development for social innovators.,"Fellowships for individuals working on poverty, education, and health.",2025-09-02 05:29:00+05:30,"{Leadership,""Poverty Alleviation""}","{""Social Innovators""}","{""Global South""}",0,0,"{fellowship,leadership,poverty}",Acumen,"{1,3,4}",TRUE,2025-07-18 17:27:13.177284+05:30,2025-07-18 17:27:13.177284+05:30
e31831a24904db1bf5d04b117f89ffc2,https://www.brac.net/program/ultrapoorgraduation/,BRAC Ultra-Poor Graduation Programme,Comprehensive support for families in extreme poverty.,"BRAC’s Ultra-Poor Graduation approach provides livelihood training, cash grants, and long-term support to lift people sustainably out of poverty.",2025-12-02 05:29:00+05:30,"{""Poverty Alleviation"",Livelihoods}","{Ultra-poor,""Rural families""}","{""Global South""}",0,200000,"{poverty,livelihood,graduation,resilience}",BRAC,"{1,2}",TRUE,2025-07-18 17:42:24.672395+05:30,2025-07-18 17:42:24.672395+05:30
042a303c5334c1af92b36cd3d3063977,https://www.givedirectly.org/programs/basic-income/,GiveDirectly Basic Income Program,Direct cash transfers to people in extreme poverty.,"GiveDirectly sends cash directly to people in need with no strings attached, allowing them to choose how best to improve their lives.",2025-10-21 05:29:00+05:30,"{""Poverty Alleviation"",""Universal Basic Income""}","{Ultra-poor,Rural}","{Kenya,Uganda,Liberia}",0,500000,"{""cash transfer"",""basic income"",poverty}",GiveDirectly,{1},TRUE,2025-07-18 17:42:24.672395+05:30,2025-07-18 17:42:24.672395+05:30
34ec921658ac339b4337389f39280751,https://www.fundsforngos.org/latest-funds-for-ngos/eu-eritrea-strengthening-the-capacities-of-civil-society-organisations-local-authorities/,EU-Eritrea: Strengthening the Capacities of Civil Society Organisations & Local Authorities,Deadline: 30 May 2016 The European Union (EU) is currently accepting proposals from eligible organisations for its thematic programme “Civil Society Organisations and Local Authorities” to strengthen civil society organisations’ and local authorities’ contribution to governance and development processes,"Deadline: 30 May 2016 The European Union (EU) is currently accepting proposals from eligible organisations for its thematic programme “Civil Society Organisations and Local Authorities” to strengthen civil society organisations’ and local authorities’ contribution to governance and development processes. The programme is divided into two lots: LOT 1 – CSOs (EUR 950 000): To support and strengthen CSOs’ capacity to perform their roles as development actors, services providers and agents in policy processes, in coordination with the country’s relevant stakeholders, in the areas of: support to children, women, people with disabilities and other vulnerable groups gender equality education health food security and sustainable natural resources management water and sanitation culture, media and information cultural and natural heritage interfaith dialogue and prevention of radicalisation youth empowerment; economic empowerment for disadvantaged groups and populations segments out of mainstream services decent work and rights at work; migration and fight to trafficking and smuggling. To foster CSOs’ cooperation with similar entities (eg with other Eritrean, African and European CSOs) and with LAs in-country and abroad and/or to strengthen CSOs’ cooperation with international and regional intergovernmental organisations. LOT 2 – LAs (EUR 300 000): To support LAas’ capacity to perform their roles as development actors, service and welfare providers, and promoters of inclusive and sustainable growth at the local level (according to their institutional mandate) in the areas of: support to children, women, people with disability and other vulnerable groups gender equality education health food security and sustainable natural resources management water and sanitation culture, media and information cultural and natural heritage interfaith dialogue and prevention of radicalisations youth empowerment economic empowerment for disadvantaged groups and populations segments out of mainstream services decent work and rights at work migration and fight to trafficking and smuggling To foster LAs’ cooperation with similar entities (eg with other Eritrean, African and European LAs) and with CSOs in-country and abroad and/or to strengthen LAs’ cooperation with international and regional intergovernmental organisations. Size of Grants Any grant requested under this call for proposals must fall between the following minimum and maximum amounts: LOT 1 – CSOs minimum amount: EUR 150 000 maximum amount: EUR 500 000 LOT 2 – LAs minimum amount: EUR 150 000 maximum amount: EUR 300 000 Eligibility Criteria In order to be eligible for a grant, the lead applicant must: be a legal person or an entity without legal personality be non-profit-making be a specific type of organisation such as: non-governmental organisation, , local authority be established in a Member State of the European Union or in the State of Eritrea or in another EU partner countries, as follows: developing countries that are included in the list of recipients of ODA established by the OECD/DAC including countries and territories falling within the scope of Council Decision 2013/755/EU on the association of the overseas countries and territories with the European Union (‘Overseas Association Decision’) countries that are signatories to the Partnership Agreement between the members of the African, Caribbean and Pacific Group of States of the one part, and the European Community and its Member States, of the other part, signed in Cotonou on 23 June 2000, including South Africa countries eligible for the European Development Fund countries eligible for Union funding under the European Neighbourhood Instrument established by Regulation (EU) No 232/2014 of the European Parliament and of the Council (the ‘European Neighbourhood Instrument’) including the Russian Federation. be directly responsible for the preparation and management of the action with the co-applicant(s) and affiliated entity(ies), not acting as an intermediary. Potential applicants may not participate in calls for proposals or be awarded grants if they are in any of the situations How to Apply The application procedure consists of two phases: Concept notes Full applications In the first instance, only concept notes must be submitted for evaluation. Thereafter, lead applicants who have been pre-selected will be invited to submit a full application For more information, please visit Europeaid and download the guidelines.",NULL,{},{},{},NULL,NULL,{},FundsforNGOs,{sdg_goal_8_decent_work_and_economic_growth},TRUE,2025-07-21 17:36:59.423286+05:30,2025-07-21 17:36:59.423286+05:30
6c5480420adc174dfd006557f828ae38,https://www2.fundsforngos.org/latest-funds-for-ngos/call-for-applications-de-boer-van-staveren-fund-netherlands/,Call for Applications: De Boer-van Staveren Fund (Netherlands),"Deadline: 15-Jul-2025

The Royal Netherlands Academy of Arts and Sciences is pleased to invite applications for its De Boer-van Staveren Fund to support three scientific researchers on autoimmune diseases.
Funding Information

 	A financial contribution of up to €50,000 can be … [Read more...] about Call for Applications: De Boer-van Staveren Fund (Netherlands)","Deadline: 15-Jul-2025 The Royal Netherlands Academy of Arts and Sciences is pleased to invite applications for its De Boer-van Staveren Fund to support three scientific researchers on autoimmune diseases. Funding Information A financial contribution of up to €50,000 can be awarded. Eligibility Criteria Scientific researchers: who conduct basic research in the medical/biomedical sciences or related disciplines; who obtained their PhD no more than four years before submitting their application (this term is subject to the Academy’s extension arrangement) or are in the final phase of their PhD programme and can start the intended research within three months of being awarded the contribution; who will independently set up an innovative research line with the proposed project; who will conduct research at a university or research institute in the Kingdom of the Netherlands . Assessment Criteria Assessment of applications will be based on the following criteria: the quality and innovative nature of the research proposal; the expectation that the research proposal that has been submitted can be carried out independently by the applicant (as the researcher with final responsibility); the scientific merits of the applicant, as evidenced by their CV; a clear budget and timeline (showing the feasibility of the research project with the available resources and in the time available for it). For more information, visit KNAW .",2025-07-15 05:30:00+05:30,{},{},{},NULL,NULL,"{intend,support,eligibility,institute,conduct,university,relate,time,science,merit,follow,de,submit,propose,netherlands,final,independently,subject,academy,line,applicant,biomedical,available,boer,researcher,staveren,financial,project,carry,invite,assessment,knaw,phase,discipline,information,contribution,art,innovative,obtain,disease,extension,expectation,base,van,clear,programme,arrangement,quality,scientific,basic,research,budget,feasibility,visit,resource,year,phd,month,fund,royal,autoimmune,medical,start,evidence,award,nature,timeline,please,proposal,term,set,criterion,kingdom,deadline,responsibility,cv,application}",FundsforNGOs,{},TRUE,2025-07-25 14:15:41.035868+05:30,2025-07-25 14:15:41.035868+05:30
909499105f7cebc022cc6f71701364d4,https://www2.fundsforngos.org/latest-funds-for-ngos/ssf-call-for-eu-horizon-europe-research-application-support-sweden/,SSF call for EU Horizon Europe Research Application Support (Sweden),"Deadline: 15-Oct-2025

The Swedish Foundation for Strategic Research (SSF) announces a Call to support preparation of research applications targeting the European Union’s (EU) Horizon Europe (HEU) framework program for research and innovation.

The Call aims to promote internationalization of … [Read more...] about SSF call for EU Horizon Europe Research Application Support (Sweden)","Deadline: 15-Oct-2025 The Swedish Foundation for Strategic Research (SSF) announces a Call to support preparation of research applications targeting the European Union’s (EU) Horizon Europe (HEU) framework program for research and innovation. The Call aims to promote internationalization of Swedish research by stimulating increased Swedish participation in HEU Pillar 2 Global Challenges & European Industrial Competitiveness. The HEU-projects must be of strategic relevance for Sweden , i.e., benefit the future competitiveness of Sweden. Scopes SSF covers direct application costs for researchers employed by Swedish universities and research institutes as they apply for funding for engaging in project Coordinator roles exclusively in projects in EU HEU Pillar 2 (Global Challenges & European Industrial Competitiveness) in the fields of natural science , technology or medicine. SSF will release funding upon notification by the applicant that the HEU application has been registered as an eligible HEU-application and the relevant costs have been reported to SSF. HEU-applications that are evaluated by EU as non-eligible will not receive any funding from SSF. However, SSF does not require the applications to finally be granted any HEU-funding. Funding Information Selected projects will receive SSF-grants maximized to SEK 500 000 (incl. overheads). Eligibility Criteria All the following criteria must be fulfilled for SSF to consider an application as eligible and to receive further evaluation. Non-eligible applications will be rejected. The applicant is currently employed to at least 50% by a Swedish university, University college or Research institute which has the capacity to assume coordination responsibility for the project during the grant period and during the period of the proposed HEU-project. The applicant (the person, not only his/her organisation) has during the previous five years been, or currently is, the main PI of any other granted individual research project of the amount of at least MSEK 5 in total, including all participants. This grant can come from any funding organisation: SSF, EU or other. The applicant must be involved in an HEU-application in the role of Project Coordinator in a Pillar 2 (Global Challenges & European Industrial Competitiveness) Project (including partnership projects) in the fields of natural science, technology or medicine. See the HEU overview picture on the final page for more details. Only original (or Stage 1 in a multistage HEU evaluation) applications towards HEU Calls as already published in HEU work plans are eligible. The application to SSF concerns covering costs for directly working with an application towards EU HEU Pillar 2. There is no requirement on the status of the HEU-application when submitting the SSF-application. Eligible costs are exclusively those arising during 1 January 2025 – 31 December 2025 for salaries, travel and consultants in direct connection to the HEU application. No costs for preparatory data collection, investigations, research etc. are eligible, nor are any costs outside the above date interval accepted. For more information, visit SSF .",2025-10-15 05:30:00+05:30,{},{},{},NULL,NULL,"{investigation,support,select,eligibility,relevance,institute,university,interval,detail,datum,report,science,future,consider,europe,ssf,requirement,technology,msek,travel,assume,publish,framework,announce,december,cover,reject,follow,person,submit,funding,field,industrial,medicine,natural,status,propose,final,relevant,exclusively,directly,college,overview,preparation,page,original,stimulate,benefit,applicant,coordinator,arise,come,participant,target,researcher,evaluation,outside,pillar,project,capacity,direct,register,picture,innovation,multistage,require,eligible,finally,strategic,non,total,currently,sweden,previous,eu,information,organisation,stage,heu,role,program,connection,foundation,include,date,aim,main,participation,involve,cost,notification,work,grant,competitiveness,partnership,internationalization,incl,receive,overhead,etc,salary,evaluate,sek,january,research,global,fulfil,increase,challenge,european,visit,horizon,promote,scope,coordination,year,apply,maximize,union,period,concern,collection,individual,accept,consultant,engage,release,employ,swedish,preparatory,criterion,pi,deadline,responsibility,application,plan}",FundsforNGOs,{},TRUE,2025-07-25 14:15:44.151922+05:30,2025-07-25 14:15:44.151922+05:30
74dc84676e7033620cee2a06fb9c2b15,https://www2.fundsforngos.org/latest-funds-for-ngos/call-for-letters-of-inquiry-for-small-grants/,Call for Letters of Inquiry for Small Grants – Mediterranean Basin Biodiversity Hotspot,"Deadline: 01-Aug-2025










BirdLife International and DOPPS, serving as the Regional Implementation Team for the Critical Ecosystem Partnership Fund (CEPF), are inviting civil society organizations to apply for small grants in the Mediterranean Basin Biodiversity Hotspot. These … [Read more...] about Call for Letters of Inquiry for Small Grants – Mediterranean Basin Biodiversity Hotspot","Deadline: 01-Aug-2025 BirdLife International and DOPPS , serving as the Regional Implementation Team for the Critical Ecosystem Partnership Fund (CEPF) , are inviting civil society organizations to apply for small grants in the Mediterranean Basin Biodiversity Hotspot . These grants aim to support vital conservation efforts while actively engaging local communities in protecting their natural heritage. The funding will focus on two key areas. The first is Coastal Biodiversity Conservation , which involves building local partnerships to safeguard globally significant coastal regions. This includes Marine Protected Areas and coastal wetlands. The goal is to support civil society involvement in managing these areas and to create new opportunities for protection, restoration, and sustainable management. The second area of focus is the Conservation of Threatened Plants and Plant Communities . This includes strengthening the role of civil society in conserving endangered flora, building the capacity of the botanical community, and ensuring that plant conservation is effectively integrated into the management of protected areas. The total budget available is USD 600,000 , with individual grants ranging from USD 15,000 to USD 40,000 . Projects must last a minimum of 12 months and should start by 1 November 2025 and be completed no later than 31 August 2027 . Eligible countries include Albania , Bosnia and Herzegovina, Cabo Verde, Egypt, Jordan, Lebanon, Libya, Montenegro, Morocco, North Macedonia, Palestine , and Tunisia . A wide range of applicants is welcome, including NGOs, community groups, universities , and private enterprises . Individuals may not apply directly but can partner with civil society organizations. All applicants must have a valid bank account and be legally authorized to receive charitable funds under national laws. Government-owned enterprises can apply only if they meet specific conditions: they must have a separate legal identity from government bodies, the legal authority to receive private funds, and cannot claim sovereign immunity. However, certain activities are not eligible for funding. These include the purchase of land , involuntary resettlement , or any activity that negatively affects cultural heritage or Indigenous communities . Projects must respect local values and receive broad support from any Indigenous Peoples affected. This grant opportunity offers strong support for organizations dedicated to protecting biodiversity and empowering local communities across the Mediterranean region. Ask ChatGPT For more information, visit Critical Ecosystem Partnership Fund .",2025-08-01 05:30:00+05:30,{},{},{},15000,600000,"{local,support,ngo,activity,august,regional,dopp,university,specific,second,area,partner,biodiversity,community,tunisia,significant,law,identity,complete,botanical,mediterranean,wetland,authorize,marine,funding,usd,small,opportunity,separate,natural,hotspot,protection,valid,directly,herzegovina,respect,conservation,create,safeguard,land,applicant,international,globally,basin,libya,indigenous,palestine,available,dedicate,project,claim,macedonia,endangered,capacity,effectively,invite,restoration,wide,offer,plant,negatively,chatgpt,critical,build,eligible,empower,focus,coastal,ensure,bosnia,heritage,bank,strong,total,legally,vital,strengthen,information,serve,role,country,birdlife,purchase,new,include,minimum,legal,aim,conserve,body,affect,verde,effort,involve,lebanon,group,cabo,key,grant,enterprise,partnership,region,receive,management,involvement,account,north,goal,authority,budget,condition,manage,albania,welcome,visit,egypt,ask,apply,value,team,month,morocco,fund,society,organization,sustainable,involuntary,private,meet,start,range,threaten,cultural,individual,actively,november,immunity,montenegro,national,engage,jordan,ecosystem,protect,implementation,flora,integrate,resettlement,certain,charitable,broad,government,civil,deadline,sovereign,people,cepf,later}",FundsforNGOs,{},TRUE,2025-07-25 14:15:47.466355+05:30,2025-07-25 14:15:47.466355+05:30
